,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$\log_{10}$($P_{compress}$ [Pa]),$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$s$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,-0.0016,0.1248,0.0238,-0.0720,0.1888,-0.0911,0.1158,-0.2685,0.2133,0.2387,0.1204,0.2473,0.2718,0.1520,-0.1138
$m_0$ [kg],-0.0016,1.0000,0.2026,-0.1949,0.0505,-0.2667,-0.1808,-0.2766,0.0163,-0.2345,-0.3022,0.0351,-0.0287,-0.0119,-0.0453,-0.1443
$\rho$ [kg/m$^3$],0.1248,0.2026,1.0000,-0.0652,0.0652,-0.2856,-0.0204,-0.1614,0.0964,0.0387,0.2562,-0.3156,-0.1256,0.2614,0.0337,-0.0391
$\sigma$ [kg/J],0.0238,-0.1949,-0.0652,1.0000,0.0180,0.0523,0.2044,0.1375,-0.2651,-0.1244,0.1459,-0.0930,-0.1593,-0.0388,-0.1161,-0.2249
$h_e$ [m],-0.0720,0.0505,0.0652,0.0180,1.0000,-0.1809,0.0085,-0.0730,0.0824,0.0302,-0.0752,-0.1401,0.1068,-0.1850,-0.2304,0.0864
$\log_{10}$($\eta$ [kg/J]),0.1888,-0.2667,-0.2856,0.0523,-0.1809,1.0000,0.1931,0.2543,-0.3595,0.0883,0.2450,0.1373,-0.0475,-0.0583,0.3988,0.0529
$s$,-0.0911,-0.1808,-0.0204,0.2044,0.0085,0.1931,1.0000,0.1385,0.0162,-0.1191,0.2831,0.2579,0.1534,-0.3238,0.2091,-0.1063
$\log_{10}$($m_{l}$ [kg]),0.1158,-0.2766,-0.1614,0.1375,-0.0730,0.2543,0.1385,1.0000,-0.2476,0.1626,0.0396,0.1676,0.1098,0.2156,-0.1504,-0.2159
$\log_{10}$($m_{u}$ [kg]),-0.2685,0.0163,0.0964,-0.2651,0.0824,-0.3595,0.0162,-0.2476,1.0000,-0.0029,-0.0392,-0.1613,0.1606,0.0090,-0.0449,0.3570
$\log_{10}$($P_{compress}$ [Pa]),0.2133,-0.2345,0.0387,-0.1244,0.0302,0.0883,-0.1191,0.1626,-0.0029,1.0000,-0.0683,-0.2332,0.0424,0.2440,0.0926,-0.1748
$\log_{10}$($m_{min}/m_{disr}$),0.2387,-0.3022,0.2562,0.1459,-0.0752,0.2450,0.2831,0.0396,-0.0392,-0.0683,1.0000,-0.1800,0.1873,0.1604,0.0947,0.2344
$\log_{10}$($m_{max}/m_{disr}$),0.1204,0.0351,-0.3156,-0.0930,-0.1401,0.1373,0.2579,0.1676,-0.1613,-0.2332,-0.1800,1.0000,0.0080,-0.2966,0.0715,-0.0878
$m_{gr}/m_{disr}$,0.2473,-0.0287,-0.1256,-0.1593,0.1068,-0.0475,0.1534,0.1098,0.1606,0.0424,0.1873,0.0080,1.0000,-0.0448,-0.0663,-0.0913
$s$,0.2718,-0.0119,0.2614,-0.0388,-0.1850,-0.0583,-0.3238,0.2156,0.0090,0.2440,0.1604,-0.2966,-0.0448,1.0000,-0.1671,-0.0319
$\sigma_{lag}$ [m],0.1520,-0.0453,0.0337,-0.1161,-0.2304,0.3988,0.2091,-0.1504,-0.0449,0.0926,0.0947,0.0715,-0.0663,-0.1671,1.0000,0.0133
$\sigma_{lum}$ [W],-0.1138,-0.1443,-0.0391,-0.2249,0.0864,0.0529,-0.1063,-0.2159,0.3570,-0.1748,0.2344,-0.0878,-0.0913,-0.0319,0.0133,1.0000
