,$v_0$ [m/s],$m_0$ [kg],$\rho$ [kg/m$^3$],$\sigma$ [kg/J],$h_e$ [m],$\log_{10}$($\eta$ [kg/J]),$s$,$\log_{10}$($m_{l}$ [kg]),$\log_{10}$($m_{u}$ [kg]),$\log_{10}$($P_{compress}$ [Pa]),$s$,$\log_{10}$($m_{min}/m_{disr}$),$\log_{10}$($m_{max}/m_{disr}$),$m_{gr}/m_{disr}$,$\sigma_{lag}$ [m],$\sigma_{lum}$ [W]
$v_0$ [m/s],1.0000,0.0728,0.0321,-0.1454,-0.0607,-0.0581,0.0358,-0.0635,-0.0622,-0.0444,-0.1063,0.1031,0.0295,-0.1202,-0.0220,-0.0612
$m_0$ [kg],0.0728,1.0000,-0.2831,-0.4603,0.0494,0.1237,-0.0609,0.1328,0.1391,-0.1149,0.1490,-0.3129,-0.4479,-0.2039,-0.0749,-0.0419
$\rho$ [kg/m$^3$],0.0321,-0.2831,1.0000,-0.0912,0.0251,-0.0411,0.0000,-0.0935,-0.0895,0.0257,0.0341,-0.1375,-0.2434,0.1063,0.0617,0.0031
$\sigma$ [kg/J],-0.1454,-0.4603,-0.0912,1.0000,-0.1469,-0.0491,0.0375,0.0174,0.0169,0.0351,-0.0986,0.1303,0.1038,-0.2530,0.0482,-0.0406
$h_e$ [m],-0.0607,0.0494,0.0251,-0.1469,1.0000,0.1100,-0.0014,-0.0110,-0.0061,0.0754,-0.1081,-0.0811,-0.0429,0.1448,0.0450,0.0325
$\log_{10}$($\eta$ [kg/J]),-0.0581,0.1237,-0.0411,-0.0491,0.1100,1.0000,0.0636,0.0652,0.0508,-0.0914,0.0283,-0.0804,-0.0949,-0.0714,0.0387,0.0195
$s$,0.0358,-0.0609,0.0000,0.0375,-0.0014,0.0636,1.0000,-0.1143,-0.1141,-0.0078,0.0802,-0.0868,-0.1117,0.0119,0.0118,0.0189
$\log_{10}$($m_{l}$ [kg]),-0.0635,0.1328,-0.0935,0.0174,-0.0110,0.0652,-0.1143,1.0000,0.9949,0.0335,0.1279,0.0636,0.0698,0.0732,-0.0124,-0.0105
$\log_{10}$($m_{u}$ [kg]),-0.0622,0.1391,-0.0895,0.0169,-0.0061,0.0508,-0.1141,0.9949,1.0000,0.0363,0.1399,0.0568,0.0643,0.0887,-0.0213,-0.0095
$\log_{10}$($P_{compress}$ [Pa]),-0.0444,-0.1149,0.0257,0.0351,0.0754,-0.0914,-0.0078,0.0335,0.0363,1.0000,-0.0313,-0.0289,0.0102,0.1661,-0.0733,-0.0386
$s$,-0.1063,0.1490,0.0341,-0.0986,-0.1081,0.0283,0.0802,0.1279,0.1399,-0.0313,1.0000,-0.1273,-0.1969,0.0534,0.0392,0.0472
$\log_{10}$($m_{min}/m_{disr}$),0.1031,-0.3129,-0.1375,0.1303,-0.0811,-0.0804,-0.0868,0.0636,0.0568,-0.0289,-0.1273,1.0000,0.6756,0.1770,-0.0310,-0.0280
$\log_{10}$($m_{max}/m_{disr}$),0.0295,-0.4479,-0.2434,0.1038,-0.0429,-0.0949,-0.1117,0.0698,0.0643,0.0102,-0.1969,0.6756,1.0000,0.2160,0.0126,0.0110
$m_{gr}/m_{disr}$,-0.1202,-0.2039,0.1063,-0.2530,0.1448,-0.0714,0.0119,0.0732,0.0887,0.1661,0.0534,0.1770,0.2160,1.0000,-0.0237,0.0283
$\sigma_{lag}$ [m],-0.0220,-0.0749,0.0617,0.0482,0.0450,0.0387,0.0118,-0.0124,-0.0213,-0.0733,0.0392,-0.0310,0.0126,-0.0237,1.0000,-0.0041
$\sigma_{lum}$ [W],-0.0612,-0.0419,0.0031,-0.0406,0.0325,0.0195,0.0189,-0.0105,-0.0095,-0.0386,0.0472,-0.0280,0.0110,0.0283,-0.0041,1.0000
